supplement_name,symptom_name,context
Acidophilus,Constipation,side_effect
Acidophilus,Gas,side_effect
Acidophilus,Bloating,side_effect
Acidophilus,Increased Thirst,side_effect
Acidophilus,Acidophilus That Has Live Bacteria,side_effect
Aloe,Short-Term Kidney Failure,side_effect
Aloe,Cancer,side_effect
Coenzyme Q10,Upper Stomach Pain,side_effect
Coenzyme Q10,Loss Of Appetite,side_effect
Coenzyme Q10,Nausea,side_effect
Coenzyme Q10,Diarrhea,side_effect
Coenzyme Q10,Dizziness,side_effect
Coenzyme Q10,Problems Sleeping,side_effect
Coenzyme Q10,Tiredness,side_effect
Coenzyme Q10,Headaches,side_effect
Coenzyme Q10,Rash,side_effect
Coenzyme Q10,Irritability,side_effect
Creatine,"Weight Gain, Generally As Lean Body Mass",side_effect
DHEA,Hormone-Sensitive Cancers,side_effect
DHEA,Cancer,side_effect
DHEA,Prostate,side_effect
DHEA,Oily Skin,side_effect
Evening primrose,Upset Stomach,side_effect
Evening primrose,Loose Stools,side_effect
Evening primrose,Headache,side_effect
Evening primrose,Seizures,side_effect
Evening primrose,Pregnancy Complications,side_effect
Fish oil,Mild Side Effects,side_effect
Fish oil,A Fishy Aftertaste,side_effect
Fish oil,Bad Breath,side_effect
Fish oil,"Heartburn, Nausea Or Diarrhea",side_effect
Fish oil,Rash,side_effect
Flaxseed and flaxseed oil,Bloating,side_effect
Flaxseed and flaxseed oil,Gas,side_effect
Flaxseed and flaxseed oil,Diarrhea,side_effect
Folate (folic acid),A Bitter Taste In The Mouth,side_effect
Folate (folic acid),Nausea,side_effect
Folate (folic acid),Loose Stools,side_effect
Folate (folic acid),Confusion,side_effect
Folate (folic acid),Irritability,side_effect
Folate (folic acid),Trouble Sleeping,side_effect
Folate (folic acid),Stomach Cramps,side_effect
Folate (folic acid),Skin Rash,side_effect
Folate (folic acid),Itching,side_effect
Folate (folic acid),"Skin Color Changes, Such As Purple Or Brown Depending On Your Skin Color",side_effect
Folate (folic acid),Difficulty Breathing,side_effect
Ginkgo,Headache,side_effect
Ginkgo,Low Salt Levels,side_effect
Ginkgo,Bleeding,side_effect
Ginkgo,Dizziness,side_effect
Ginkgo,"The Feeling Of The Heart Pounding Or Racing, Called Palpitations",side_effect
Ginkgo,Upset Stomach,side_effect
Ginkgo,"Trouble Passing Stool, Called Constipation",side_effect
Ginkgo,Skin Allergies,side_effect
Ginkgo,Seizures,side_effect
Ginkgo,Bleeding,side_effect
Ginkgo,Getting Liver And Thyroid Cancers,side_effect
Glucosamine,Nausea,side_effect
Glucosamine,Heartburn,side_effect
Glucosamine,Diarrhea,side_effect
Glucosamine,Constipation,side_effect
Glucosamine,Drowsiness,side_effect
Glucosamine,Skin Reactions,side_effect
Glucosamine,Headache,side_effect
Honey,Serious,side_effect
Honey,Wheezing And Other Asthmatic Symptoms,side_effect
Honey,Dizziness,side_effect
Honey,Nausea,side_effect
Honey,Vomiting,side_effect
Honey,Weakness,side_effect
Honey,Excessive Perspiration,side_effect
Honey,Fainting,side_effect
Honey,Irregular Heart Rhythms,side_effect
Honey,Stinging After Topical Application,side_effect
L-arginine,"Nausea, Abdominal Pain And Diarrhea",side_effect
L-arginine,Bloating,side_effect
L-arginine,Gout,side_effect
L-arginine,Headache,side_effect
L-arginine,Allergic Response,side_effect
L-arginine,Airway Inflammation Or Worsening Of Asthma Symptoms,side_effect
L-arginine,Death,side_effect
Marijuana,Weed Or Marijuana,side_effect
Marijuana,Headaches,side_effect
Marijuana,Dry Mouth,side_effect
Marijuana,Red And Dry Eyes,side_effect
Marijuana,Dizziness And Higher Risk Of Falling,side_effect
Marijuana,"Drowsiness, Including Problems Focusing",side_effect
Marijuana,Fatigue,side_effect
Marijuana,Coughing,side_effect
Marijuana,Wheezing,side_effect
Marijuana,Nausea And Vomiting,side_effect
Marijuana,Feeling Anxious,side_effect
Marijuana,"Seeing, Hearing Or Smelling Things That Aren'T There, Known As Hallucinations, And Psychosis",side_effect
Marijuana,Problems With Memory,side_effect
Marijuana,Heart That Beats Too Fast,side_effect
Marijuana,Heart That Beats Out Of Time,side_effect
Marijuana,Nausea,side_effect
Marijuana,Depression Or Make Depression Symptoms Worse,side_effect
Marijuana,Mania,side_effect
Marijuana,Psychosis,side_effect
Marijuana,Serious,side_effect
Marijuana,High Blood Pressure,side_effect
Marijuana,Cannabinoid Hyperemesis Syndrome,side_effect
Marijuana,You To Need More Anesthetic,side_effect
Melatonin,Headache,side_effect
Melatonin,Dizziness,side_effect
Melatonin,Nausea,side_effect
Melatonin,Drowsiness,side_effect
Melatonin,Daytime Drowsiness,side_effect
Milk thistle,"Gastrointestinal Issues, Such As Diarrhea, Constipation, Nausea, Vomiting And Abdominal Bloating",side_effect
Milk thistle,Itchiness,side_effect
Milk thistle,Headache,side_effect
Milk thistle,Ragweed,side_effect
Niacin,Skin Flushing And Dizziness,side_effect
Niacin,Itching,side_effect
Niacin,Upset Stomach And Vomiting,side_effect
Niacin,Belly Pain,side_effect
Niacin,Loose Stools,side_effect
Niacin,Gout,side_effect
Niacin,Liver Damage,side_effect
Niacin,Diabetes,side_effect
Niacin,Hypotension,side_effect
Niacin,Gout,side_effect
Niacin,Hyperuricemia,side_effect
Niacin,Deficiency,side_effect
Red yeast rice,Mild Side Effects,side_effect
Red yeast rice,Stomach Pain,side_effect
Red yeast rice,Heartburn,side_effect
Red yeast rice,Gas,side_effect
Red yeast rice,Headache,side_effect
Red yeast rice,Feeling Dizzy,side_effect
Red yeast rice,Upset Stomach,side_effect
SAMe,"Digestive Problems, Such As Nausea, Diarrhea Or Constipation",side_effect
SAMe,Mild Insomnia,side_effect
SAMe,Dizziness,side_effect
SAMe,Irritability,side_effect
SAMe,Anxiety,side_effect
SAMe,Sweating,side_effect
St. John's wort,Anxiety,side_effect
St. John's wort,Dizziness,side_effect
St. John's wort,"Diarrhea, Constipation, And Upset Stomach",side_effect
St. John's wort,Dry Mouth,side_effect
St. John's wort,Tiredness And Trouble Sleeping,side_effect
St. John's wort,Headache,side_effect
St. John's wort,"Higher Sensitivity To Sunlight, Also Called Photosensitivity",side_effect
Tea tree oil,Skin Irritation,side_effect
Tea tree oil,"Allergic Skin Rash, Also Called Dermatitis",side_effect
Tea tree oil,Itching,side_effect
Tea tree oil,Stinging,side_effect
Tea tree oil,Burning,side_effect
Tea tree oil,Dryness,side_effect
Tea tree oil,Confusion,side_effect
Tea tree oil,"Problems With Muscle Control And Movement, Called Ataxia",side_effect
Tea tree oil,Problems Breathing,side_effect
Tea tree oil,Higher White Blood Cell Count,side_effect
Tea tree oil,"A Deep State Of Sleep Where A Person Doesn'T Respond, Called Coma",side_effect
Vitamin A,Nausea,side_effect
Vitamin A,Vomiting,side_effect
Vitamin A,Fatigue,side_effect
Vitamin A,Dizziness,side_effect
Vitamin A,Blurry Vision,side_effect
Vitamin A,Balance Issues,side_effect
Vitamin A,Liver Damage,side_effect
Vitamin A,Headache,side_effect
Vitamin A,Nausea,side_effect
Vitamin A,Hair Loss,side_effect
Vitamin A,Dry Skin,side_effect
Vitamin A,Pain In The Joints And Bones,side_effect
Vitamin A,"Rarely, Death",side_effect
Vitamin B-6,A Lack Of Muscle Control Or Coordination Of Voluntary Movements,side_effect
Vitamin B-6,"Painful, Disfiguring Skin Lesions",side_effect
Vitamin B-6,Heartburn And Nausea,side_effect
Vitamin B-6,Sensitivity To Sunlight,side_effect
Vitamin B-6,Numbness,side_effect
Vitamin B-6,Reduced Ability To Sense Pain Or Extreme Temperatures,side_effect
Vitamin B-12,Headache,side_effect
Vitamin B-12,Nausea,side_effect
Vitamin B-12,Diarrhea,side_effect
Vitamin B-12,Weakness,side_effect
Vitamin B-12,Tingling Sensation In Hands And Feet,side_effect
Vitamin C,Side Effects,side_effect
Vitamin C,"Upset Stomach, Vomiting And Loose Stools",side_effect
Vitamin C,Heartburn,side_effect
Vitamin C,Stomach Cramps Or Bloating,side_effect
Vitamin C,"Tiredness And Sleepiness Or Not Being Able To Sleep, Called Insomnia",side_effect
Vitamin C,Headache,side_effect
Vitamin C,Kidney Stones,side_effect
Vitamin C,Serious Side Effects,side_effect
Vitamin C,G6Pdh Deficiency,side_effect
Vitamin C,Blood Sugar Screening Tests Or Stool Tests For Hidden Blood,side_effect
Vitamin C,Occult Blood,side_effect
Vitamin D,Upset Stomach And Vomiting,side_effect
Vitamin D,Weight Loss And Not Wanting To Eat,side_effect
Vitamin D,Muscle Weakness,side_effect
Vitamin D,Not Being Able To Think Clearly Or Quickly,side_effect
Vitamin D,Heart Rhythm Issues,side_effect
Vitamin D,Kidney Stones And Kidney Damage,side_effect
Vitamin E,Upset Stomach,side_effect
Vitamin E,Loose Stools,side_effect
Vitamin E,Belly Cramps,side_effect
Vitamin E,Tiredness,side_effect
Vitamin E,Weakness,side_effect
Vitamin E,Headache,side_effect
Vitamin E,Blurred Vision,side_effect
Vitamin E,Rash,side_effect
Vitamin E,Side Effects,side_effect
Vitamin E,Death,side_effect
Vitamin E,Prostate Cancer,side_effect
Vitamin E,Too Little Vitamin K,side_effect
Vitamin E,"An Eye Condition In Which The Retina Is Damaged, Called Retinitis Pigmentosa",side_effect
Vitamin E,Bleeding Conditions,side_effect
Vitamin E,Diabetes,side_effect
Vitamin E,A History Of Heart Attack Or Stroke,side_effect
Vitamin E,Head And Neck Cancer,side_effect
Vitamin E,Liver Disease,side_effect
Vitamin E,Bleeding,side_effect
Vitamin E,Angioplasty,side_effect
Zinc,Diarrhea,side_effect
Zinc,Dizziness,side_effect
Zinc,Headache,side_effect
Zinc,Nausea,side_effect
Zinc,Upset Stomach,side_effect
Zinc,Vomiting,side_effect
Zinc,Copper Deficiency,side_effect
Zinc,Intranasal Zinc,side_effect
